Name,City,State,Tags,Shakespeare Productions,Annual Productions,Budget,Founded,Select,URL
Steel City Shakespeare Center,Pittsburgh,PA - Pennsylvania,,,,,,,
Pittsburgh Shakespeare in the Parks,Pittsburge,PA - Pennsylvania,,,,,,,
Lantern Theater Company,Philadelphia,PA - Pennsylvania,,,,,,,
Millbrook Playhouse,Mill Hall,PA - Pennsylvania,,,,,,,
Media Music Theatre Company,Media,PA - Pennsylvania,,,,,,,
Pennsylvania Shakespeare Festival,Center Valley,PA - Pennsylvania,,,,,,,
Orangemite Studios,Dover,PA - Pennsylvania,,,,,,,
Gamut Theatre / Harrisburg Shakespeare Company,Harrisburg,PA - Pennsylvania,,,,,,,
Band of Brothers Shakespeare Company,Johnstown,PA - Pennsylvania,,,,,,,
Arden Theatre Company,Philadelphia,PA - Pennsylvania,,,,,,,
Philadelphia Shakespeare Theatre,Philadelphia,PA - Pennsylvania,,,,,,,
Pittsburgh Public Theatre,Pittsburgh,PA - Pennsylvania,,Untitled (https://www.notion.so/c9c34733165646b7b627b8b49f48d5a0?pvs=21),,,,,
Trinity Rep,Providence,RI -Rhode Island,,,,,,,
Rhode Island Shakespeare Theatre,Providence,RI -Rhode Island,,,,,,,
South Carolina Shakespeare Company,Columbia,SC - South Carolina,,,,,,,
Shakespeare Carolina,Rock Hill,SC - South Carolina,,,,,,,
South Dakota Shakespeare Festival,Sioux Falls,SD - South Dakota,,,,,,,
Tennessee Stage Company,Knoxville,TN - Tennessee,,,,,,,
Nashville Shakespeare Festival,Nashville,TN - Tennessee,,"Untitled (https://www.notion.so/096ca44ba9874471b7ba6187edcfe34c?pvs=21), Untitled (https://www.notion.so/a866494a8cc742e8947ef583a7dc4c34?pvs=21), Untitled (https://www.notion.so/54dbe8b8ec434218b00e85e2e62bd242?pvs=21)",,,,,
Tennessee Shakespeare Company,Memphis,TN - Tennessee,,"Untitled (https://www.notion.so/186f09304ef44a538564ee551dd9db81?pvs=21), Untitled (https://www.notion.so/361309dcc16b499e80eb2b2b93701b65?pvs=21), Untitled (https://www.notion.so/7177c1a8e2fd4f54b8a366f9e2c553af?pvs=21), Untitled (https://www.notion.so/b877e08016014b7892d6a62e0cefafa8?pvs=21)",,,,,
The Emily Add Theatre and Gardens,Wimberley,TX - Texas,,,,,,,
The Globe Theatre,Odessa,TX - Texas,,,,,,,https://the-globe.org
